,_id,date,bug,__,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
0,14295be0edba4070a604d93b4e9acb91d5ed39d2,1451578374,0,0,1,1,1,0.0,1,0,214,1,15,84.02002314814816,53,1842,349.2500991542032,7
1,0845300d1993ca749f0e661ad744ccb721c87e7c,1451675025,0,0,1,1,1,0.0,6,5,517,1,17,45.0165162037037,42,73,3.340875010603491,47
2,bf98fbac448999bf6a67fd90f31e799356fd9daf,1451680046,0,0,1,1,1,0.0,1,1,55,0,119,14.277164351851852,649,3381,41.35500342662991,6
3,95414bcfd4df25e01d2737e58bc49b59d0dbe0f5,1451680196,0,0,1,1,1,0.0,1,1,44,0,119,14.2771875,650,3382,42.352243052835256,6
4,515203eac7661a8823ba70a1e832f4a32d45b1d7,1451880840,0,0,1,1,1,0.0,1,1,61,1,119,13.419780092592593,651,3383,40.717067357949034,6
5,c6a87e463c52ed052704c9716f1f414caa581868,1451881075,0,0,1,1,1,0.0,1,1,57,0,119,19.284664351851852,652,3384,41.71254974256256,6
6,6902c87048675b106378121e5f919adc8772a99f,1451895837,0,0,1,4,5,1.7853074645554854,210,12,5485,1,89,85.79905787037036,402,566,8.723416116521904,143
7,6689724f0e5ec2a9f3f7f64d4954e54ef9fdd554,1451900825,0,0,1,1,1,0.0,4,6,715,1,12,145.8650462962963,18,1,1.0,1
8,b8c34d9ba52974ffa4359e72a278dfa054504c94,1451902941,0,0,1,1,1,0.0,2,1,355,0,19,167.4846990740741,27,2,2.0,1
9,aae5ed191fef2e30de956d475b1192f1b65782af,1451905028,0,0,1,1,3,1.2641741758256733,20,9,13043,0,223,68.89870756172839,996,14,4.463687412846449,13
10,f6969afa4708d1702321dcd48062591bd400789e,1451905358,1,1,1,3,5,1.9606698238314735,100,21,26813,1,384,34.26175,2820,589,23.035021343979356,171
11,f22a1e314b210dbbf32ed0a2efada68ace8a4a8b,1451905783,0,0,1,2,2,0.20062232431271465,0,32,868,0,80,109.45564236111112,177,2344,203.88057233839916,1232
12,8c72d8f1de0f69f8feae4724b01b2e4da8006c45,1451905783,0,0,1,1,1,0.0,0,2,102,0,33,76.88324074074075,85,2345,204.88057233839916,5
13,34d4a6a78b288f87bd2f122a18916f940cc2b5fc,1451906396,1,1,1,3,3,1.4093608652873644,25,0,755,1,26,48.36914737654321,81,20,6.373455002698308,8
14,ce9125b314500b1117840c90c5eb2210fec78485,1451911363,0,0,1,1,1,0.0,4,4,4057,1,68,88.82474537037037,168,1,1.0,1
15,d8532315e0b8da90631e79a1cc040057b0658ce2,1451918301,1,1,1,2,2,0.9703248913579178,67,121,746,0,2,13.613935185185186,8,8,3.1797030761021645,3
16,9b430f99518e10ae263bedec3062408af332068c,1451918817,1,1,1,3,3,1.1846128276938,107,14,4828,1,89,121.32009645061729,308,17,9.06098098541771,9
17,9e7fffaba8f94ef4dde1e42b99349e81beb01fae,1451919901,0,0,1,1,1,0.0,1,1,997,0,58,25.877731481481483,239,3650,88.33690603006015,747
18,e4daac6012a0166b246c495e7fc915bccf47513f,1451921754,0,0,1,2,2,0.9544340029249649,20,4,648,0,31,151.04563657407408,62,21,4.181368760795776,7
19,d3a6797254da3213107a8340ddb79cb10b3bc1d3,1451925743,0,0,1,2,2,0.5032583347756457,17,1,1815,1,41,65.80637731481481,122,1844,349.0929645334117,595
20,ceb9c40d66d0bfad79165ced2ae8e02e44b55686,1451926209,0,0,1,3,48,5.2624187522746615,253,1717,3619,1,42,259.68015842013887,170,364,50.28697665155113,178
