,_id,date,bug,__,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
0,38addfc8525a6d0e1edd92867aa4c3af7654d019,1306862441,0,0,1,2,3,1.5333966306896163,87,12,100127,0,7,158.67484953703703,56,8364,834.2100917905367,1202
1,a0b6c801a827dafd9f071251ab10677ad0b10ed2,1306916885,0,0,1,1,1,0.0,4,0,945,0,6,14.052025462962963,12,529,108.24499843158071,130
2,d021afa111b2afcf08e7425b9d65762538209367,1306928147,0,0,1,1,1,0.0,10,6,271,0,6,81.9382175925926,22,530,109.12095384883418,130
3,6f52ee59e2986d82fbb4739fc318bc2e2209c15c,1306935420,0,0,1,1,1,0.0,20,4,331,0,6,82.02239583333333,20,531,109.97638999287409,130
4,a4123b02d1a98eab2db58f8fcdd024049fc6a369,1306998749,0,0,2,3,5,1.5600020887567887,84,64,9049,0,15,4.258097222222222,859,648,19.273491556816094,156
5,668811fc31a7421d680344928daa0d29a93c0efe,1307033281,0,0,3,7,8,1.4040241644847733,556,9,54968,0,16,109.44482494212963,1290,574,68.93346164270925,151
6,6dbdf3fa7e9874677a5d467c6e81b372bfe68a14,1307088366,0,0,1,3,3,1.584962500721156,15,3,14581,0,12,0.6375578703703704,258,577,68.68381083946953,110
7,99eec58eba0c22b9663c631a4779f9cb8b9fc6b1,1307089852,0,0,3,4,4,1.1330429130467004,194,3,40114,0,14,0.6547569444444444,930,581,72.57880667658733,151
8,4cfd03dd748fa759db5c066bbd20e5232a50e22e,1307376553,0,0,2,3,3,0.284273122979193,170,3,17085,0,12,65.06503472222222,709,584,66.44905321434601,136
9,b7f8672e2fbca05c19cf41b6b4e23f89058edd4f,1307380777,0,0,2,3,3,0.8630653023129398,68,6,18695,0,16,29.278715277777778,846,651,14.93552035909287,156
10,082f7cd1817160586b4a53d2ae0f2953f939ffaa,1307386823,0,0,1,1,4,1.4386811796007533,62,47,1971,0,9,74.37807002314815,302,8368,833.7789567422001,1202
11,159c5896c4f1d22fb036ce1ae0f693986d264025,1307419785,0,0,1,1,1,0.0,4,0,626,0,7,0.3815046296296296,96,532,108.35133720389908,131
12,3d219cb27f4513e1d8be2c9101022b1fdc50fb15,1307435969,0,0,1,5,5,2.127478486418822,23,21,19281,0,17,38.612180555555554,1206,589,69.71029567121924,112
13,927a4fb445457e9d74ea837f30dd19781c6d8567,1307437346,0,0,1,1,1,0.0,4,4,630,0,7,0.20325231481481482,97,533,109.15880798036865,131
14,3853babded7697b52b9aa413186879a1fe7b332a,1307439053,0,0,2,4,5,1.3209350412622147,48,34,13701,0,17,13.43488425925926,1281,594,74.47743993041475,138
15,4627b8f1f64ba0ed4f68dc7ceeade74f90a7e847,1307440946,0,0,1,1,1,0.0,2,0,630,0,7,0.041666666666666664,98,534,110.08625739743444,131
16,46f4fb308d529a87192bcc5ca35c093290160518,1307446744,0,0,2,3,3,0.8706913785973593,37,1,12837,0,16,14.007222222222222,879,294,38.942514763925246,100
17,ad93f93273063aaa02358e63265437fca53b4b65,1307448104,0,0,1,1,1,0.0,27,20,818,0,6,69.06129629629629,41,8369,832.8975685051795,168
18,fcf2bfd089c63d1d5921e924d95881126a5b414a,1307450362,0,0,1,1,1,0.0,6,1,1481,0,8,80.70431712962963,80,8370,833.8034618265491,1202
19,495a1fdbad2ce503c03e506015e695fc8352c2f6,1307459220,0,0,1,2,2,0.863120568566631,12,2,1100,0,7,543.6068634259259,58,8372,835.3739039866749,1202
20,6bb879c00b288288bb9e5e6b13c45a1b4712c867,1307460616,0,0,1,1,1,0.0,6,5,1608,0,9,20.17736111111111,41,8948,93.3663771966076,133
21,b37a4ba2d48d43de5e4f4d8bc1f12d0deeeb83d4,1307461682,0,0,1,1,1,0.0,1,0,1609,0,9,0.012337962962962964,42,8949,94.35016710426959,133
22,a34e5d51a851097dc6b9a25b8681fbf700b7d690,1307463226,0,0,1,1,1,0.0,0,5,2622,0,9,83.25644675925926,28,8950,95.30965451946604,133
