word, value
watson,1.0
easily,0.9775465130805969
spends,0.9747294584910074
kennedy,0.9741494725732243
samuel.rodal,0.9491190708600558
rule,0.9129995902379354
qtbug-24034,0.9080327153205872
normalizing,0.8947107344865799
checkbox,0.8663456737995148
v4classgen,0.8652706146240234
ovi.com,0.8361017113699146
closes,0.8008363246917725
pekka,0.7938863933086395
sibling,0.7927530407905579
disconnect,0.7918392519156138
james,0.791414201259613
task-number,0.7900557213737851
qmetaobjectbuilder,0.7886006236076355
s1,0.7872552871704102
happens,0.7861977430681387
formatting,0.7793593883514405
interaction,0.7737405300140381
relevant,0.7714440756373935
closing,0.7675160070260366
located,0.7629307508468628
painted,0.7597518861293793
qdeclarativedatatest,0.7597427368164062
package,0.7597119808197021
heikkinen,0.755175035733443
literals,0.7497160285711288
filesystem,0.7376916110515594
0-based,0.7374861836433411
compliant,0.7360682288805643
qt_aavit,0.7323569655418396
abbapoh,0.7297587394714355
quick1,0.7233023643493652
intel.com,0.718524763040994
connected,0.7183025109448603
something,0.7168529765172438
top,0.7157864833579344
replace,0.7015874430871918
:value,0.7005423009395599
enumeration,0.6941285610198975
intention,0.6879751235246658
little,0.6869027896931297
reimplementations,0.685416708389918
graphical,0.6824330538511276
4.9-trunk,0.6791175206502279
padding,0.6785924931367239
srand,0.6711214780807495
edges,0.668317973613739
series,0.6587829242149988
debao,0.6586332619190216
passing,0.6515868864953518
christian,0.6507914110141642
roberto.raggi,0.6463892813771963
qdatetime,0.6463594853878021
-qtnamespace,0.6463483422994614
temporary,0.6415051966905594
lexer,0.640782967209816
echo,0.6402921378612518
jens,0.6394225500072493
jan,0.6375941061414778
specific,0.6354001544144315
qsysinfo,0.632571796576182
scheme,0.6300013313690821
unneeded,0.6288883537054062
canceling,0.6243547201156616
're,0.6214417073537003
buddenhagen,0.6212986793100566
translated,0.6204415162404379
wrongly,0.6167609803378582
iconv,0.6082929819822311
qwindowsstyle,0.6040231088797251
wolfgang.beck,0.6035685688257217
representing,0.5987530946731567
4.8.1,0.5984508395195007
adapt,0.5981313623487949
sysroot,0.5951780043542385
stretching,0.5932570248842239
kde.org,0.5932315071221701
spelling,0.5930666228135427
woboq.com,0.5868318035926033
accelerometer,0.5859326049685478
separate,0.5848718482101786
evaluator,0.5847880691289902
lorn.potter,0.5803846327158121
popup,0.5775004997849464
warning,0.5766721968155574
mistakenly,0.5766556262969971
\internal,0.5728401839733124
stromme,0.5654491228716714
parent,0.5631120520333449
raster,0.5598852234807882
literature,0.5590101182460785
mismatch,0.5557102002203465
determining,0.5517175793647766
rødal,0.5503975906051122
mistakes,0.5487306229770184
qtserialport,0.5470538511872292
ready-,0.5465564578771591
live.com,0.5451447367668152
determination,0.5448796674609184
webgl,0.5416159729162852
oswald.buddenhagen,0.5409673390965567
qtbug-20719,0.5406377464532852
wrapping,0.5403425693511963
detect,0.5337423885410483
serialport,0.5330247581005096
refers,0.5324148933092753
andras.becsi,0.5323008385797342
build,0.5308348170717011
qcolor,0.529557983080546
narrowing,0.5278979241847992
mcgovern,0.526616608310077
compat,0.5257618352770805
enable,0.5237165285694984
repository,0.5213173851370811
stores,0.521035393079122
destroying,0.5207967509826025
geo,0.5200532749295235
throughout,0.5198247730731964
readonly,0.5196030835310618
qinputmethodevent,0.5191290155053139
protection,0.5188325941562653
david.faure,0.5180231835693121
:fromutf8,0.5177032053470612
spec,0.5158442497253418
possibly,0.5138438483700156
incompatible,0.5098683275282383
qicon,0.5095105568567911
hash,0.5091450760761896
itemization,0.5087727606296539
release,0.5072634432178277
heap,0.5069254865361885
qwebsocket,0.5068210288882256
records,0.5067087560892105
direction,0.5053986310958862
wrapper,0.5050607234239578
qtconcurrentcompilertest.h,0.5037301718257368
unreachable,0.5037012211978436
qlocaleprivate,0.5026198327541351
bound,0.502436950802803
qpa,0.5016235058089175
trigger,0.5011916566978801
overview,0.5010948292911053
linear,0.5010619312524796
-fully-process,0.5
discarded,0.5
qplatformdialoghelper,0.5
:data,0.5
counting,0.5
animate,0.5
bill,0.5
trap,0.5
tests/shared/util.h,0.5
eight,0.5
soname,0.5
drawellipse,0.5
spacing,0.5
executionengine,0.5
relaxed,0.5
rtl,0.5
dashes,0.5
fiddling,0.5
accesscontroloperation,0.5
sensor,0.49646466970443726
spotted,0.49338871240615845
copyrights,0.49262726306915283
succeeded,0.49193507929642993
lars,0.4918440258938127
validator,0.4912439286708832
arve,0.49040231481194496
:dokerning,0.49033498764038086
osx,0.49018208014043313
routing,0.48978933691978455
qtabbar,0.4885252118110657
auto-generated,0.48722007125616074
jeremy.laine,0.48408806324005127
except,0.4829658091068268
ints,0.4816008862107992
compiling,0.4799287706613541
line,0.47883862577552017
gracefully,0.4767817333340645
node,0.47632579099048267
macs,0.4762398647144437
native,0.4747345199036162
qvideosurfacearbfppainter,0.4732906371355057
created,0.4731943244414945
optimisation,0.47179344296455383
alex.blasche,0.4717429813463241
readable,0.4714650387565295
paragraphs,0.4713276010006666
icc,0.47098905371967703
chris.adams,0.47083839774131775
odr,0.47033682465553284
masm,0.47009846319754917
inaccessible,0.46929730474948883
=0,0.4673501327633858
needed,0.4663775254092697
modify,0.46508298136971216
marko,0.4639611393213272
remote,0.46358347684144974
related,0.45986937389018073
qweakpointer,0.4579656086862087
morten.sorvig,0.4573175487507667
graphicssurface,0.4563992917537689
affects,0.4555004835128784
qqmlcomponent,0.4548651973406474
qurlquery,0.4534321427345276
qstrings,0.45160426711663604
wmf,0.4496893625910161
playback,0.44881703870164025
says,0.4487791561654636
qquickdwmfeatures,0.4479420855641365
newer,0.44687596559524534
