qt,qt,openstack,openstack
word, value, word, value
watson,1.0, reviewing,1.0
easily,0.9775465130805969, peter,1.0
spends,0.9747294584910074, decoupled,1.0
kennedy,0.9741494725732243, non-existing,1.0
samuel.rodal,0.9491190708600558, hang,1.0
rule,0.9129995902379354, array,1.0
qtbug-24034,0.9080327153205872, portbinding,0.9879782795906067
normalizing,0.8947107344865799, 1227473,0.9778891801834106
checkbox,0.8663456737995148, cuts,0.9736350774765015
v4classgen,0.8652706146240234, obviously,0.9513718962669373
ovi.com,0.8361017113699146, v2.1/v3,0.9393275082111359
closes,0.8008363246917725, overriding,0.920345813035965
pekka,0.7938863933086395, transition,0.9131251176198324
sibling,0.7927530407905579, safe,0.8829382359981537
disconnect,0.7918392519156138, netns,0.8793312112490336
james,0.791414201259613, designed,0.8702273666858673
task-number,0.7900557213737851, pretty,0.8641712367534637
qmetaobjectbuilder,0.7886006236076355, stuff,0.8558644354343414
s1,0.7872552871704102, stores,0.85487167040507
happens,0.7861977430681387, openstack-common.conf,0.8237288892269135
formatting,0.7793593883514405, treat,0.8176237344741821
interaction,0.7737405300140381, flavors,0.8139075636863708
relevant,0.7714440756373935, bandwidth,0.8028495907783508
closing,0.7675160070260366, backward,0.7963827649752299
located,0.7629307508468628, leaving,0.7905516411576953
painted,0.7597518861293793, reject,0.7832163572311401
qdeclarativedatatest,0.7597427368164062, ratelimits,0.7808971107006073
package,0.7597119808197021, irrelevant,0.7710226774215698
heikkinen,0.755175035733443, source,0.76636542485406
literals,0.7497160285711288, several,0.7648220527917147
filesystem,0.7376916110515594, locals,0.75
0-based,0.7374861836433411, latest,0.748300464139902
compliant,0.7360682288805643, credentials,0.7471413314342499
qt_aavit,0.7323569655418396, docstring,0.7415908819530159
abbapoh,0.7297587394714355, reviewer,0.7370281517505646
quick1,0.7233023643493652, idiom,0.7183796018362045
intel.com,0.718524763040994, temp,0.7174957990646362
connected,0.7183025109448603, failures,0.707116785645485
something,0.7168529765172438, workflow,0.7059771567583084
top,0.7157864833579344, exception.py,0.698765218257904
replace,0.7015874430871918, implement,0.6851148539533217
:value,0.7005423009395599, utils.loopingcall,0.6782529950141907
enumeration,0.6941285610198975, handler,0.6766575338939825
intention,0.6879751235246658, word,0.675993338227272
little,0.6869027896931297, course,0.6733119779576858
reimplementations,0.685416708389918, sends,0.6729367822408676
graphical,0.6824330538511276, somehow,0.6695383290449778
4.9-trunk,0.6791175206502279, hint,0.6666666666666666
padding,0.6785924931367239, externed,0.6666666666666666
srand,0.6711214780807495, auth,0.6655307784676552
edges,0.668317973613739, comparing,0.6544916331768036
series,0.6587829242149988, tree,0.6523334085941315
debao,0.6586332619190216, fact,0.649329144126651
passing,0.6515868864953518, securitygroupsoutputtest,0.6483439654111862
christian,0.6507914110141642, arg,0.6472365409135818
roberto.raggi,0.6463892813771963, managed,0.6467058956623077
qdatetime,0.6463594853878021, vmware,0.6441153309618434
-qtnamespace,0.6463483422994614, tracker,0.6431055466334025
temporary,0.6415051966905594, close-bug,0.637833833694458
lexer,0.640782967209816, mount.nfs,0.6375453025102615
echo,0.6402921378612518, identifier,0.6333198149998983
jens,0.6394225500072493, max,0.6327343136072159
jan,0.6375941061414778, decorator,0.6295472200100238
specific,0.6354001544144315, dom0,0.6271757508317629
qsysinfo,0.632571796576182, normal,0.6266349226236343
scheme,0.6300013313690821, httpnotfound,0.62632255256176
unneeded,0.6288883537054062, differences,0.6222826838493347
canceling,0.6243547201156616, privilege,0.6211323142051697
're,0.6214417073537003, on/off,0.6156330704689026
buddenhagen,0.6212986793100566, certain,0.614153653383255
translated,0.6204415162404379, neutron,0.611546789140751
wrongly,0.6167609803378582, glance/notifier/notify_kombu,0.6099033504724503
iconv,0.6082929819822311, loads,0.6040441691875458
qwindowsstyle,0.6040231088797251, persistence,0.6012885868549347
wolfgang.beck,0.6035685688257217, pagination,0.6004411208753785
representing,0.5987530946731567, uuidutils,0.5982627719640732
4.8.1,0.5984508395195007, tuple,0.5980797559022903
adapt,0.5981313623487949, require,0.5926269188523292
sysroot,0.5951780043542385, ip,0.5822486575066145
stretching,0.5932570248842239, mlnxexception,0.5821803510189056
kde.org,0.5932315071221701, callers,0.5792297720909119
spelling,0.5930666228135427, myself,0.5778013169765472
woboq.com,0.5868318035926033, test_db_api,0.5768338143825531
